global_step,CR/idle_time,CR/idle_time_cost,CR/makespan,CR/makespan_cost,CR/processing_time,CR/tard_cost,CR/total_cost,CR/total_tardiness,ETD/idle_time,ETD/idle_time_cost,ETD/makespan,ETD/makespan_cost,ETD/processing_time,ETD/tard_cost,ETD/total_cost,ETD/total_tardiness,FDD_over_MWKR/idle_time,FDD_over_MWKR/idle_time_cost,FDD_over_MWKR/makespan,FDD_over_MWKR/makespan_cost,FDD_over_MWKR/processing_time,FDD_over_MWKR/tard_cost,FDD_over_MWKR/total_cost,FDD_over_MWKR/total_tardiness,LWKR_MOD/idle_time,LWKR_MOD/idle_time_cost,LWKR_MOD/makespan,LWKR_MOD/makespan_cost,LWKR_MOD/processing_time,LWKR_MOD/tard_cost,LWKR_MOD/total_cost,LWKR_MOD/total_tardiness,LWKR_SPT/idle_time,LWKR_SPT/idle_time_cost,LWKR_SPT/makespan,LWKR_SPT/makespan_cost,LWKR_SPT/processing_time,LWKR_SPT/tard_cost,LWKR_SPT/total_cost,LWKR_SPT/total_tardiness,MWKR/idle_time,MWKR/idle_time_cost,MWKR/makespan,MWKR/makespan_cost,MWKR/processing_time,MWKR/tard_cost,MWKR/total_cost,MWKR/total_tardiness,PPO/idle_time,PPO/idle_time_cost,PPO/makespan,PPO/makespan_cost,PPO/processing_time,PPO/tard_cost,PPO/total_cost,PPO/total_tardiness
42,0,0.0,2400,240.0,17500,532.5,1122.5,10650,1500,15.0,2900,290.0,17500,130.0,785.0,2600,200,2.0,2500,250.0,17500,637.5,1239.5,12750,2400,24.0,3000,300.0,17500,237.5,911.5,4750,2800,28.0,3100,310.0,17500,330.0,1018.0,6600,100,1.0,2300,230.0,17500,772.5,1353.5,15450,1900,19.0,2900,290.0,17500,187.5,846.5,3750
43,0,0.0,2800,280.0,21800,1132.5,1848.5,22650,1400,14.0,3300,330.0,21800,612.5,1392.5,12250,100,1.0,2900,290.0,21800,1417.5,2144.5,28350,700,7.0,3300,330.0,21800,627.5,1400.5,12550,1800,18.0,3400,340.0,21800,897.5,1691.5,17950,400,4.0,2900,290.0,21800,1477.5,2207.5,29550,800,8.0,3200,320.0,21800,527.5,1291.5,10550
44,100,1.0,2200,220.0,17100,577.5,1140.5,11550,1300,13.0,3000,300.0,17100,327.5,982.5,6550,400,4.0,2300,230.0,17100,767.5,1343.5,15350,1900,19.0,2800,280.0,17100,317.5,958.5,6350,1900,19.0,2700,270.0,17100,512.5,1143.5,10250,700,7.0,2300,230.0,17100,752.5,1331.5,15050,1400,14.0,2800,280.0,17100,220.0,856.0,4400
45,500,5.0,2700,270.0,20200,972.5,1651.5,19450,1300,13.0,3100,310.0,20200,467.5,1194.5,9350,100,1.0,2700,270.0,20200,1187.5,1862.5,23750,1200,12.0,3000,300.0,20200,572.5,1288.5,11450,3700,37.0,3700,370.0,20200,882.5,1693.5,17650,600,6.0,2700,270.0,20200,1257.5,1937.5,25150,1800,18.0,3200,320.0,20200,517.5,1259.5,10350
46,300,3.0,2500,250.0,18800,772.5,1401.5,15450,2000,20.0,3000,300.0,18800,320.0,1016.0,6400,0,0.0,2500,250.0,18800,952.5,1578.5,19050,1800,18.0,3100,310.0,18800,417.5,1121.5,8350,2300,23.0,2900,290.0,18800,692.5,1381.5,13850,1300,13.0,2700,270.0,18800,1017.5,1676.5,20350,1300,13.0,2800,280.0,18800,377.5,1046.5,7550
47,200,2.0,2700,270.0,20700,1197.5,1883.5,23950,1000,10.0,3200,320.0,20700,605.0,1349.0,12100,100,1.0,2600,260.0,20700,1387.5,2062.5,27750,1200,12.0,3100,310.0,20700,737.5,1473.5,14750,3200,32.0,3400,340.0,20700,907.5,1693.5,18150,800,8.0,2800,280.0,20700,1447.5,2149.5,28950,700,7.0,3100,310.0,20700,582.5,1313.5,11650
48,100,1.0,2400,240.0,17200,532.5,1117.5,10650,1100,11.0,2800,280.0,17200,192.5,827.5,3850,0,0.0,2300,230.0,17200,702.5,1276.5,14050,1300,13.0,2900,290.0,17200,242.5,889.5,4850,3500,35.0,3100,310.0,17200,492.5,1181.5,9850,600,6.0,2300,230.0,17200,797.5,1377.5,15950,2000,20.0,2900,290.0,17200,197.5,851.5,3950
49,300,3.0,2400,240.0,17900,737.5,1338.5,14750,600,6.0,2800,280.0,17900,202.5,846.5,4050,0,0.0,2300,230.0,17900,837.5,1425.5,16750,2600,26.0,3000,300.0,17900,347.5,1031.5,6950,2800,28.0,2900,290.0,17900,442.5,1118.5,8850,600,6.0,2400,240.0,17900,937.5,1541.5,18750,1300,13.0,2600,260.0,17900,275.0,906.0,5500
50,0,0.0,1900,190.0,14200,357.5,831.5,7150,1200,12.0,2400,240.0,14200,155.0,691.0,3100,100,1.0,1900,190.0,14200,472.5,947.5,9450,1000,10.0,2300,230.0,14200,182.5,706.5,3650,2500,25.0,2300,230.0,14200,355.0,894.0,7100,0,0.0,1900,190.0,14200,460.0,934.0,9200,300,3.0,2400,240.0,14200,157.5,684.5,3150
51,500,5.0,2600,260.0,20000,1102.5,1767.5,22050,1000,10.0,2900,290.0,20000,510.0,1210.0,10200,0,0.0,2600,260.0,20000,1247.5,1907.5,24950,1000,10.0,2900,290.0,20000,607.5,1307.5,12150,3700,37.0,3500,350.0,20000,882.5,1669.5,17650,500,5.0,2600,260.0,20000,1297.5,1962.5,25950,1000,10.0,3100,310.0,20000,542.5,1262.5,10850
