time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/learning_rate,eval/std_reward,eval/mean_reward,eval/mean_ep_length
458,42.459610219999995,2585,59.11,579,1185792,5780,0.22392578125,-0.02091612845833879,0.36912063864292577,-1.4690043795853853,0.9881704710423946,0.1,0.010521496,0.008345670998096466,3e-05,,,
458,43.149035569999995,2589,59.15,580,1187840,5790,0.22197265625,-0.021561137089156544,0.3446486671338789,-1.4461502756923437,0.9891794230788946,0.1,0.011077,0.02886953204870224,3e-05,,,
458,42.89952096,2593,58.58,581,1189888,5800,0.199658203125,-0.01747192282055039,0.38722073945682495,-1.4090059634298087,0.9886677889153361,0.1,0.008850746,0.03382866084575653,3e-05,,,
,,,,,1190000,5810,0.2251953125,-0.021226039006432985,0.42456112946383656,-1.4408709153532981,0.9854478994384408,0.1,0.010968482,0.01684880629181862,3e-05,3.431764445343556,44.58053691958575,53.9
458,42.52180753,2598,57.66,582,1191936,,,,,,,,,,,,,
458,42.74828694,2602,56.63,583,1193984,5820,0.232373046875,-0.02260565062169917,0.33353419828927144,-1.42182835675776,0.9903104491531849,0.1,0.010903316,0.024489320814609528,3e-05,,,
458,43.156981959999996,2606,56.54,584,1196032,5830,0.259423828125,-0.02326739920245018,0.34284599740058186,-1.438889579102397,0.9907054519280791,0.1,0.011943847,0.014873098582029343,3e-05,,,
458,43.35542692999999,2611,56.97,585,1198080,5840,0.24951171875,-0.022736566993262385,0.31442858832888304,-1.4135444816201925,0.9913040259853005,0.1,0.011670014,0.017655115574598312,3e-05,,,
,,,,,1200000,5850,0.2287109375,-0.020952135936386184,0.3744536993908696,-1.3823451284319161,0.9876914257183671,0.1,0.011346944,0.019022639840841293,3e-05,4.599880947152399,45.45317665356977,55.0
458,43.49198994999999,2615,58.13,586,1200128,,,,,,,,,,,,,
458,43.303281979999994,2620,57.91,587,1202176,5860,0.233642578125,-0.022384784297901205,0.28705577803775667,-1.4045643348246812,0.9924982995726168,0.1,0.012646273,-0.007700961083173752,3e-05,,,
458,43.135055619999996,2624,57.9,588,1204224,5870,0.215380859375,-0.020733208693854976,0.34282815237529574,-1.4048291012644767,0.9878373732790351,0.1,0.01262567,0.017311573028564453,3e-05,,,
458,43.38160977,2628,57.53,589,1206272,5880,0.23212890625,-0.020300929082441143,0.3243448492488824,-1.4275079108774662,0.9894748320803046,0.1,0.011139531,0.004943929612636566,3e-05,,,
459,43.58344454,2632,57.75,590,1208320,5890,0.225,-0.02210369061504025,0.3089014039724134,-1.4463594507426023,0.9902796261012554,0.1,0.011685291,0.007424682378768921,3e-05,,,
,,,,,1210000,5900,0.233203125,-0.02191615710980841,0.3120405680849217,-1.4059819974005223,0.9911092342808843,0.1,0.009378729,0.028026223182678223,3e-05,3.1866806653402437,46.76877467435841,65.2
458,43.37610675999999,2637,57.98,591,1210368,,,,,,,,,,,,,
458,43.374169480000006,2641,57.35,592,1212416,5910,0.24892578125,-0.021793828444788232,0.2893149873125367,-1.4275783702731133,0.9911527493968606,0.1,0.013188157,0.010756954550743103,3e-05,,,
459,43.19972723,2645,57.61,593,1214464,5920,0.21240234375,-0.02022467642527772,0.46716815445106474,-1.3923751581460238,0.9866626700386405,0.1,0.009671062,0.01609046757221222,3e-05,,,
459,43.08849726,2649,57.95,594,1216512,5930,0.224951171875,-0.022241651797958183,0.38210562216117977,-1.4070907890796662,0.9891708232462406,0.1,0.01101329,0.02764485776424408,3e-05,,,
459,43.60358797,2654,58.08,595,1218560,5940,0.23369140625,-0.022931938167312184,0.33143661917420103,-1.4208068393170834,0.9910609936341643,0.1,0.011585826,0.020033322274684906,3e-05,,,
,,,,,1220000,5950,0.226416015625,-0.023391313561296555,0.3401088715996593,-1.3826703477650881,0.9918397441506386,0.1,0.010450709,0.018789665773510933,3e-05,5.053866737922043,45.46835525133376,60.4
459,42.89788452,2659,59.02,596,1220608,,,,,,,,,,,,,
459,42.3139587,2663,58.73,597,1222656,5960,0.23564453125,-0.020959119874169117,0.3335138372029178,-1.4343516945838928,0.9894526805728674,0.1,0.011348532,0.013451606035232544,3e-05,,,
459,42.78312642,2667,58.45,598,1224704,5970,0.222412109375,-0.02091269685915904,0.32046981796156615,-1.4205188192427158,0.9904052950441837,0.1,0.011134927,0.026084184646606445,3e-05,,,
