time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/explained_variance,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss,eval/mean_ep_length,eval/mean_reward
552960,101.1,-2.3809701600000004,135,576,959,0.9479449428617954,0.029863155,0.2,-0.032801635597570565,-0.0603056363761425,-1.935255022533238,0.2986572265625,1340,0.0003,0.00374381122937848,,
557056,101.23,-2.3337448,136,579,960,0.9586209878325462,0.025522668,0.2,-0.02886552029522136,-0.03754382207989693,-1.9688247894868254,0.27958984375,1350,0.0003,0.002861488430153258,,
560000,,,,,,0.9357142150402069,0.028264401,0.2,-0.027258556035667424,-0.03409906476736069,-1.9377512047067285,0.2915283203125,1360,0.0003,0.004186441603724234,93.6,-1.6786158
561152,100.83,-2.34847987,137,583,960,,,,,,,,,,,,
565248,101.05,-2.38985433,138,587,961,0.9463555254042149,0.029746994,0.2,-0.031029614697763462,-0.051905322819948196,-1.9027422392740845,0.2875244140625,1370,0.0003,0.003611322493179614,,
569344,100.96,-2.35854697,139,591,962,0.941954217851162,0.029663842,0.2,-0.03258541585964849,-0.08559957146644592,-1.8962473306804895,0.3017578125,1380,0.0003,0.004199742642231286,,
573440,101.36,-2.33629234,140,595,963,0.96348437666893,0.034302227,0.2,-0.029219982227368747,-0.07360533624887466,-1.8400253038853407,0.3068603515625,1390,0.0003,0.002655663530458696,,
577536,100.97,-2.3104403,141,599,963,0.9586009420454502,0.031533293,0.2,-0.03262946520590049,-0.04581132531166077,-1.855299242772162,0.294384765625,1400,0.0003,0.003447027208039799,,
580000,,,,,,0.9589187204837799,0.028045926,0.2,-0.03042024613896501,-0.048571884632110596,-1.9251618076115846,0.281201171875,1410,0.0003,0.0032352242154956913,97.0,-1.6413532
581632,101.14,-2.31397549,142,604,962,,,,,,,,,,,,
585728,101.36,-2.3000055600000002,143,608,962,0.9575945809483528,0.030026551,0.2,-0.03196873575434438,-0.06657273322343826,-1.8472158940508963,0.294873046875,1420,0.0003,0.0032652624968250166,,
589824,100.78,-2.2196181399999997,144,612,963,0.9413970969617367,0.027798226,0.2,-0.03173468362292624,-0.07115527987480164,-1.8485158629715444,0.2847900390625,1430,0.0003,0.003064808543877007,,
593920,102.26,-2.24421239,145,616,964,0.9440767168998718,0.030200332,0.2,-0.030094729566189925,-0.06699714809656143,-1.8532243724912405,0.29228515625,1440,0.0003,0.0034336305780925612,,
598016,101.98,-2.2518587899999996,146,619,964,0.9580123126506805,0.03842057,0.2,-0.03312146626703907,-0.05439453944563866,-1.8913813641294837,0.3140625,1450,0.0003,0.00306152812381697,,
600000,,,,,,0.9599509015679359,0.028680015,0.2,-0.03056062928699248,-0.059563130140304565,-1.9114500779658556,0.29892578125,1460,0.0003,0.0030555321338397333,89.0,-1.5209376000000001
602112,102.14,-2.30793875,147,624,964,,,,,,,,,,,,
606208,101.83,-2.3427278,148,628,964,0.9654700793325901,0.033338994,0.2,-0.03220368269976461,-0.05378017574548721,-1.8368950059637428,0.307275390625,1470,0.0003,0.0027000208090612434,,
610304,101.32,-2.3605590700000003,149,632,964,0.9590239897370338,0.034631398,0.2,-0.03186846904536651,-0.022370262071490288,-1.8069840313866734,0.30869140625,1480,0.0003,0.00265147551881455,,
614400,99.85,-2.26029855,150,636,964,0.9584702178835869,0.031649947,0.2,-0.028052055474108783,-0.06685028225183487,-1.8327127223834396,0.309912109375,1490,0.0003,0.003253991233850684,,
618496,101.28,-2.30550459,151,640,965,0.9389745406806469,0.032722156,0.2,-0.027781934128142893,-0.04715064913034439,-1.8082360036671161,0.294091796875,1500,0.0003,0.0038489927440423346,,
620000,,,,,,0.9624951370060444,0.02817624,0.2,-0.02828149376255169,-0.03380787372589111,-1.8036943431943655,0.290185546875,1510,0.0003,0.0035564799278290592,98.0,-1.9192741999999998
622592,100.66,-2.30509484,152,645,965,,,,,,,,,,,,
