#{"t_start": 1708833692.834356, "env_id": "scheduler-customEnv"}
r,l,t
13.921544,46,177.670202
19.243308,43,177.745281
12.104874,53,177.923499
15.634773,48,178.016318
18.252179,43,178.096975
14.380469,49,178.193745
15.011468,48,178.290767
14.489888,47,178.376593
14.543778,50,178.484024
16.299018,47,178.57773
7.789702,59,178.694245
12.482151,50,178.786325
19.133294,44,178.862711
16.599285,47,178.94483
16.384463,42,179.040836
17.131187,45,179.131874
15.945686,46,179.259575
12.616173,50,179.360378
14.715533,46,179.453962
6.602815,62,179.58366
15.270433,50,179.6747
17.451415,46,179.750551
15.838193,46,179.830024
17.051372,44,179.914952
17.904758,47,180.09097
19.002389,41,180.170315
16.506076,48,180.286142
11.853731,53,180.406093
15.561863,49,180.524844
14.576272,49,180.619345
2.226654,71,180.74427
16.515573,43,180.827993
16.467699,42,180.917767
16.441893,47,181.009627
16.935751,44,181.092123
15.261554,44,181.162863
14.233361,47,181.276418
12.817607,49,181.368312
14.402578,50,181.46688
10.835912,56,181.583718
6.320542,64,181.706666
12.744106,49,181.794964
17.642302,42,181.883136
16.839756,46,181.970493
16.474326,44,182.141829
12.250748,52,182.23968
14.938308,45,182.324701
19.15575,40,182.418869
12.810968,54,182.54271
16.382837,45,182.651832
14.101881,46,182.742425
15.291812,48,182.850419
12.145837,51,182.957372
19.752919,39,183.034981
15.734451,47,183.146543
8.673515,60,183.26087
17.711243,44,183.351629
14.453796,48,183.439996
6.865416,62,183.558583
16.447824,45,183.651877
18.941224,40,183.726092
18.594468,43,183.801069
17.71856,42,183.883972
17.064322,42,183.961511
12.530208,51,184.061132
13.850515,52,184.226949
17.959196,41,184.30206
17.636604,44,184.392098
17.83565,42,184.474126
17.910714,42,184.568035
15.023956,52,184.668904
15.923961,48,184.758849
15.976551,48,184.842798
11.488649,50,184.927457
10.953326,55,185.035531
16.154554,45,185.119589
15.200565,48,185.20865
10.580022,51,185.308783
19.032498,40,185.377523
5.926842,64,185.507794
13.861577,47,185.595719
14.20657,52,185.741467
9.251227,55,185.834023
13.785301,51,185.925965
0.299899,77,186.089837
8.432511,61,186.265151
14.174144,50,186.372471
10.590691,57,186.484817
19.604845,38,186.561409
16.542508,44,186.657206
13.911776,47,186.750385
13.150443,48,186.827669
16.239593,44,186.9145
11.825613,51,187.003181
10.225358,57,187.1282
18.97096,43,187.207437
15.213247,46,187.297267
12.681095,52,187.410439
14.671546,48,187.507137
14.121822,47,187.601352
-7.383547,90,187.792866
