time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/clip_fraction,train/value_loss,eval/mean_ep_length,eval/mean_reward
3344,342,22.71283655,1400832,418,93.16,3e-05,3410,-2.495833383500576,-0.020639529364416376,0.0042336206,0.502566,2.7388525009155273,0.1,0.183154296875,11.937946911156178,,
3354,343,22.849595009999998,1404928,418,90.93,3e-05,3420,-2.4660326883196833,-0.020136306187487206,0.004259741,0.39529824,2.2115089893341064,0.1,0.18076171875,10.635500541329383,,
3364,344,21.954377160000003,1409024,418,91.72,3e-05,3430,-2.476342883706093,-0.01802772841474507,0.0036757705,0.5089468,2.457066535949707,0.1,0.172119140625,16.104085648059844,,
3373,345,21.63817869,1413120,418,92.88,3e-05,3440,-2.470553198456764,-0.018658842345757876,0.004007709,0.48995018,2.3735666275024414,0.1,0.15693359375,13.870665302872657,,
3383,346,20.631172489999997,1417216,418,95.21,3e-05,3450,-2.50946004986763,-0.018749662276240996,0.0039105285,0.5711473,3.0816454887390137,0.1,0.1644775390625,12.152007174491882,,
3393,347,20.40490184,1421312,418,96.49,3e-05,3460,-2.4850401759147642,-0.017333341886114795,0.003528365,0.6413157,2.080068826675415,0.1,0.1338134765625,11.242824429273606,,
3403,348,22.730933559999993,1425408,418,92.67,3e-05,3470,-2.4801920130848885,-0.019346235555713066,0.004282344,0.3053031,1.7795499563217163,0.1,0.19072265625,9.177219977974891,,
3412,349,22.42870006,1429504,418,92.72,3e-05,3480,-2.4991167724132537,-0.02280945268284995,0.004463005,0.47935575,1.7782988548278809,0.1,0.2059814453125,8.230561724305153,,
,,,1433600,,,3e-05,3490,-2.4752994284033774,-0.01886422260722611,0.0038676944,0.68710953,2.0171844959259033,0.1,0.1524169921875,11.323807667195798,83.4,26.870201110839844
3423,350,21.4178047,1433600,418,93.5,,,,,,,,,,,,
3433,351,21.943725640000004,1437696,418,94.23,3e-05,3500,-2.487107901275158,-0.019363781006541105,0.0037383712,0.5639154,3.036129951477051,0.1,0.165087890625,13.411723020672799,,
3443,352,21.25421237,1441792,418,94.29,3e-05,3510,-2.502171795070171,-0.019633392032119446,0.0043776883,0.35524392,2.0805914402008057,0.1,0.1752685546875,11.991987344622611,,
3452,353,20.919539769999997,1445888,418,93.42,3e-05,3520,-2.4907881781458854,-0.015833187820680904,0.0033517547,0.50743437,3.62611722946167,0.1,0.13447265625,17.931599858403207,,
3462,354,20.676396249999996,1449984,418,92.27,3e-05,3530,-2.4939997464418413,-0.01774586932733655,0.0032726326,0.6218862,2.0465071201324463,0.1,0.140087890625,14.009660542011261,,
3472,355,21.34151667,1454080,418,92.7,3e-05,3540,-2.511020666360855,-0.02004467997176107,0.0041892864,0.5027327,1.5812798738479614,0.1,0.18837890625,9.952910052239895,,
3481,356,21.989335419999996,1458176,418,92.61,3e-05,3550,-2.471534378826618,-0.0196990106953308,0.0041028922,0.6166115,2.130599021911621,0.1,0.1685302734375,9.235998044908047,,
3491,357,21.571922780000005,1462272,418,93.28,3e-05,3560,-2.477988475561142,-0.019661274102691095,0.0043470743,0.27521855,2.2046825885772705,0.1,0.1776611328125,11.869411410391331,,
3501,358,20.615720000000007,1466368,418,94.28,3e-05,3570,-2.4905220925807954,-0.02067888308520196,0.004817291,0.49090606,1.2709474563598633,0.1,0.200830078125,7.6311256885528564,,
3510,359,20.653952720000003,1470464,418,94.11,3e-05,3580,-2.499219474196434,-0.02137692382093519,0.0047119074,0.50460565,1.2345573902130127,0.1,0.188623046875,8.229533267021178,,
,,,1474560,,,3e-05,3590,-2.4989300698041914,-0.01876944643445313,0.0040745316,0.58836025,1.826614499092102,0.1,0.1690673828125,11.170969524979592,89.6,21.443567562103272
3521,360,20.559955289999998,1474560,418,94.17,,,,,,,,,,,,
3531,361,20.446642880000002,1478656,418,95.12,3e-05,3600,-2.481119413673878,-0.019466358798672444,0.00393956,0.5776059,2.098785400390625,0.1,0.1683349609375,12.312684029340744,,
3541,362,20.591694079999996,1482752,418,95.93,3e-05,3610,-2.4963869005441666,-0.01865851258044131,0.0038592266,0.59452415,2.3170394897460938,0.1,0.1474853515625,14.182099866867066,,
3550,363,20.976158220000002,1486848,418,94.2,3e-05,3620,-2.491105076670647,-0.021162804464984218,0.0049392837,0.67194414,1.530064344406128,0.1,0.2002197265625,7.205427682399749,,
3560,364,20.85686055,1490944,418,93.19,3e-05,3630,-2.4932440161705016,-0.01958922824705951,0.004323972,0.6870774,1.7950607538223267,0.1,0.1797607421875,9.964378099143506,,
3570,365,21.9285938,1495040,418,93.47,3e-05,3640,-2.499163733422756,-0.02079489354218822,0.0042117434,0.35909396,1.5889540910720825,0.1,0.17763671875,11.16808506846428,,
3580,366,21.8868291,1499136,418,93.37,3e-05,3650,-2.4555729523301126,-0.020502363643026912,0.0050266543,0.54439473,1.0626041889190674,0.1,0.192724609375,7.348434840142727,,
3589,367,21.321528159999993,1503232,418,94.15,3e-05,3660,-2.4974390879273414,-0.022177063240087592,0.0051350975,0.49321896,0.9073933959007263,0.1,0.2279052734375,5.625524070113897,,
3599,368,19.75828212,1507328,418,94.63,3e-05,3670,-2.48185515999794,-0.022266010180464944,0.004641559,0.6936013,1.1759390830993652,0.1,0.2011962890625,6.514528420567513,,
3609,369,21.388765969999998,1511424,418,93.24,3e-05,3680,-2.500072479248047,-0.019908061713795177,0.004111249,0.50627893,1.3741041421890259,0.1,0.1672119140625,8.973192070424556,,
,,,1515520,,,3e-05,3690,-2.468316949903965,-0.02005270284716971,0.003949561,0.4916849,1.5058923959732056,0.1,0.1601806640625,12.722485400736332,92.4,24.721104049682616
3620,370,22.017891489999997,1515520,418,93.98,,,,,,,,,,,,
3629,371,21.18104598,1519616,418,95.13,3e-05,3700,-2.501001074910164,-0.018925585733086336,0.0045245243,0.5356605,1.0381577014923096,0.1,0.1652587890625,7.066923178732395,,
3639,372,21.871470969999997,1523712,418,94.29,3e-05,3710,-2.479795108735561,-0.01967202707892284,0.0041926135,0.63028246,1.3819730281829834,0.1,0.1753173828125,7.616635377705097,,
3649,373,21.807659939999997,1527808,418,91.65,3e-05,3720,-2.48879454433918,-0.020749717293074354,0.005502823,0.41186225,0.9551595449447632,0.1,0.20419921875,6.818308157473803,,
3658,374,20.55387727,1531904,418,92.75,3e-05,3730,-2.4630323708057404,-0.019663710427994373,0.0038260794,0.5947864,2.0655322074890137,0.1,0.16611328125,10.52262115776539,,
3668,375,20.759017149999995,1536000,418,93.11,3e-05,3740,-2.4662799879908563,-0.017862157977651803,0.003572012,0.3156765,2.7168314456939697,0.1,0.1435302734375,14.346501186490059,,
